,City Name,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Gimli,28,CA,1578375218,75,50.63,-96.99,19.99,18.01
1,Vardo,1,US,1578374845,41,39.62,-77.74,39.2,4.7
2,Cape Town,96,ZA,1578374726,64,-33.93,18.42,70.0,5.82
3,Dingle,71,PH,1578374848,82,11.0,122.67,80.15,10.51
4,Severo-Kurilsk,100,RU,1578375223,78,50.68,156.12,22.03,14.85
5,Vaini,40,IN,1578374850,65,15.34,74.49,78.8,6.93
6,Deoli,10,IN,1578375225,35,25.76,75.37,70.29,8.08
7,Punta Arenas,90,CL,1578375154,87,-53.16,-70.91,51.8,9.17
8,Bluff,100,AU,1578375227,37,-23.58,149.07,89.31,12.19
9,Kodiak,1,US,1578374854,82,39.95,-94.76,33.01,8.05
10,Opelika,40,US,1578375229,87,32.65,-85.38,51.01,4.7
11,Ushuaia,75,AR,1578375198,71,-54.81,-68.31,53.6,5.82
12,Port Alfred,84,ZA,1578375202,97,-33.59,26.89,70.0,1.01
13,Oranjemund,85,ZA,1578374859,78,-28.55,16.43,63.21,12.57
14,Mataura,84,NZ,1578374861,72,-46.19,168.86,57.0,11.99
15,Saint Anthony,90,US,1578374862,80,43.97,-111.68,32.0,13.87
16,Provideniya,91,RU,1578374863,91,64.42,-173.23,-10.41,1.74
17,Bredasdorp,100,ZA,1578374756,68,-34.53,20.04,69.8,12.75
18,Thunder Bay,75,CA,1578374711,91,48.41,-89.26,28.99,4.7
19,Klaksvik,87,FO,1578374868,93,62.23,-6.59,41.0,29.97
20,Avarua,20,CK,1578374869,83,-21.21,-159.78,80.6,3.36
21,Manakara,52,MG,1578374870,67,-22.14,48.01,85.48,1.36
22,Hermanus,97,ZA,1578374871,82,-34.42,19.24,66.99,11.99
23,Mollendo,59,PE,1578374872,87,-17.03,-72.02,67.78,7.85
24,Hilo,40,US,1578374873,64,19.71,-155.08,75.99,5.82
25,Rikitea,21,PF,1578374875,78,-23.12,-134.97,77.16,15.32
26,Abu Samrah,0,SY,1578374877,67,35.3,37.18,45.79,6.76
27,Falmouth,87,GB,1578374879,100,50.16,-5.07,52.0,12.75
28,Vila Velha,75,BR,1578374880,74,-3.71,-38.6,86.0,4.7
29,Grand Gaube,40,MU,1578374791,83,-20.01,57.66,84.2,3.36
30,Hobart,75,AU,1578374759,59,-42.88,147.33,69.01,12.75
31,Upernavik,100,GL,1578374886,97,72.79,-56.15,-7.29,6.69
32,Balikpapan,40,ID,1578374887,66,-1.24,116.86,87.8,12.75
33,Pedra Branca,92,BR,1578374888,89,-5.46,-39.72,72.82,3.49
34,Cherskiy,0,RU,1578374889,74,68.75,161.3,-17.45,6.4
35,Ambanja,40,MG,1578374890,89,-13.68,48.45,84.2,2.01
36,Udachnyy,90,RU,1578374891,92,66.42,112.4,12.2,4.47
37,Huilong,0,CN,1578374892,52,31.15,106.5,52.75,5.46
38,Sangar,100,RU,1578374894,93,63.92,127.47,0.55,9.15
39,Atuona,55,PF,1578374895,70,-9.8,-139.03,80.98,11.56
40,Laguna,90,BZ,1578374855,94,16.17,-88.94,69.8,2.04
41,Vila Franca do Campo,75,PT,1578374742,93,37.72,-25.43,64.4,8.05
42,Lumphat,0,KH,1578374898,36,13.5,106.97,93.88,6.67
43,Katsuura,75,JP,1578374899,81,33.93,134.5,51.8,6.93
44,Tumbagaan,100,PH,1578374900,78,5.37,120.31,78.67,4.12
45,Butaritari,100,KI,1578374901,76,3.07,172.79,85.3,16.24
46,San Cristobal,100,HN,1578374803,98,14.68,-86.92,59.47,3.22
47,Bhalki,9,IN,1578374904,55,18.04,77.21,78.91,8.93
48,Port Elizabeth,1,US,1578374905,55,39.31,-74.98,42.01,4.7
49,East London,75,ZA,1578374778,94,-33.02,27.91,69.8,5.82
50,Antigonish,90,CA,1578374907,79,45.62,-61.99,25.0,3.36
51,Hithadhoo,100,MV,1578374753,78,-0.6,73.08,83.7,15.21
52,Pangkalanbuun,55,ID,1578374910,62,-2.68,111.62,89.6,6.87
53,Nidzica,90,PL,1578374911,100,53.36,20.43,33.8,5.82
54,Touros,40,BR,1578374913,94,-5.2,-35.46,75.2,3.36
55,Independencia,18,MX,1578374914,96,20.06,-97.05,60.17,2.66
56,Namatanai,89,PG,1578374915,65,-3.66,152.44,86.45,1.48
57,Jamestown,0,AU,1578374916,27,-33.21,138.6,86.9,1.88
58,Oussouye,92,SN,1578374917,48,12.49,-16.54,62.6,4.7
59,Palmares do Sul,42,BR,1578374918,90,-30.26,-50.51,70.95,5.75
60,Saldanha,100,PT,1578374919,79,41.42,-6.55,35.28,3.2
61,Mahebourg,40,MU,1578374921,83,-20.41,57.7,84.2,3.36
62,Bismarck,20,US,1578374818,85,46.81,-100.78,21.99,14.99
63,Hammerfest,40,NO,1578374923,80,70.66,23.68,35.6,6.93
64,Tuktoyaktuk,20,CA,1578374925,67,69.44,-133.03,-27.4,9.17
65,Busselton,0,AU,1578374926,12,-33.64,115.35,93.99,15.03
66,San Quintin,0,PH,1578374927,57,17.54,120.52,84.69,6.42
67,Almaznyy,75,RU,1578374928,93,48.03,40.04,35.6,13.42
68,Sur,30,OM,1578374930,63,22.57,59.53,73.29,17.36
69,Kapaa,90,US,1578374693,83,22.08,-159.32,77.0,21.92
70,Magadan,12,RU,1578374932,70,59.56,150.8,4.48,8.77
71,Baturaja,40,ID,1578374933,52,-4.12,104.17,89.13,7.58
72,Tevaitoa,24,PF,1578374934,81,-16.78,-151.5,81.79,19.91
73,Becerril,58,CO,1578374935,78,9.7,-73.28,71.74,1.5
74,Tilichiki,91,RU,1578374936,95,60.47,166.1,3.22,6.8
75,Tasiilaq,100,GL,1578374939,95,65.61,-37.64,21.24,21.72
76,Coihaique,20,CL,1578374940,81,-45.58,-72.07,51.8,2.24
77,Lebu,40,ET,1578374941,71,8.96,38.73,59.74,2.59
78,Alice Town,68,BS,1578374942,60,25.72,-79.3,70.25,9.69
79,La Ronge,90,CA,1578374943,70,55.1,-105.3,-5.8,9.17
80,Stavern,90,NO,1578374944,100,59.0,10.03,44.01,10.29
81,Dhidhdhoo,68,MV,1578374945,74,6.88,73.1,82.24,9.48
82,Kahului,20,US,1578374946,69,20.89,-156.47,75.2,14.99
83,San Felipe,0,CL,1578374948,99,-32.75,-70.73,62.01,1.34
84,Sao Filipe,98,CV,1578374949,66,14.9,-24.5,68.05,18.88
85,Pevek,0,RU,1578374853,66,69.7,170.27,-8.55,6.71
86,Carnarvon,82,ZA,1578374951,52,-30.97,22.13,70.68,15.59
87,Banapur,0,IN,1578374952,44,19.78,85.18,75.13,2.75
88,Medea,20,DZ,1578374953,93,36.27,2.77,37.4,3.36
89,Tabatinga,0,BR,1578374954,91,-21.74,-48.69,70.47,5.82
90,Poum,0,MK,1578374955,55,41.28,20.71,21.29,4.81
91,Iqaluit,40,CA,1578374957,60,63.75,-68.52,-27.0,11.41
92,Noumea,20,NC,1578374810,48,-22.28,166.46,86.0,18.34
93,Balkanabat,6,TM,1578374959,63,39.51,54.36,42.26,10.16
94,Alofi,0,NU,1578374960,88,-19.06,-169.92,80.6,3.36
95,Qaanaaq,33,GL,1578374961,83,77.48,-69.36,-21.57,5.77
96,Ilulissat,100,GL,1578374765,63,69.22,-51.1,-7.6,17.22
97,Basco,90,US,1578374963,64,40.33,-91.2,35.01,3.36
98,Labuhan,85,ID,1578374792,55,-2.54,115.51,90.52,3.11
99,Bethel,1,US,1578374966,75,60.79,-161.76,-16.6,8.05
100,Muyezerskiy,100,RU,1578374967,96,63.93,31.65,32.59,10.0
101,Mizdah,55,LY,1578374969,79,31.45,12.98,41.14,5.35
102,Chokurdakh,0,RU,1578374970,89,70.62,147.9,-22.09,3.83
103,Ponta do Sol,0,BR,1578374971,92,-20.63,-46.0,65.73,0.89
104,Muscat,75,OM,1578374972,53,23.6,58.55,73.4,10.29
105,North Bend,90,US,1578374973,100,43.41,-124.22,51.01,9.17
106,Margate,75,AU,1578374975,59,-43.03,147.26,69.01,12.75
107,Souillac,90,FR,1578374824,93,45.6,-0.6,44.6,6.93
108,Mount Gambier,40,AU,1578374743,39,-37.83,140.78,80.6,16.11
109,Gamba,69,CN,1578374978,30,28.28,88.52,21.11,5.91
110,Dikson,100,RU,1578374979,96,73.51,80.55,5.7,4.94
111,New Norfolk,75,AU,1578374980,59,-42.78,147.06,69.01,12.75
112,Kenai,1,US,1578374981,69,60.55,-151.26,-6.0,3.36
113,Saint-Joseph,28,FR,1578374892,86,43.56,6.97,48.2,3.36
114,Huarmey,9,PE,1578374985,86,-10.07,-78.15,66.87,1.72
115,Kungurtug,0,RU,1578374760,70,50.6,97.53,9.97,2.19
116,Tautira,40,PF,1578374877,74,-17.73,-149.15,84.2,11.41
117,Santa Rosa,0,AR,1578374989,30,-36.62,-64.29,62.8,10.22
118,Hasaki,75,JP,1578374990,61,35.73,140.83,48.2,8.05
119,Denpasar,40,ID,1578374842,79,-8.65,115.22,84.2,12.75
120,Chala,40,TZ,1578374992,100,-7.6,31.27,57.2,2.01
121,Victoria,75,BN,1578374994,66,5.28,115.24,89.6,2.24
122,Mutoko,39,ZW,1578374995,71,-17.4,32.23,74.43,3.47
123,Udimskiy,100,RU,1578374996,95,61.14,45.92,14.88,7.16
124,Veraval,90,FR,1578374997,100,49.65,0.71,46.4,6.93
125,Hofn,100,IS,1578374998,96,64.25,-15.21,39.36,27.09
126,Beringovskiy,8,RU,1578374999,92,63.05,179.32,-12.71,9.1
127,Zhuhai,100,CN,1578375000,53,40.71,112.04,24.8,4.47
128,Never,47,RU,1578375002,92,53.98,124.16,-4.74,2.35
129,Vikravandi,75,IN,1578375004,83,12.04,79.54,80.6,11.41
130,Yellowknife,75,CA,1578375006,74,62.45,-114.38,-25.01,5.82
131,Palafrugell,39,ES,1578375007,92,41.92,3.16,46.99,3.36
132,Nanakuli,20,US,1578375008,78,21.39,-158.15,77.0,9.17
133,Vammala,90,FI,1578375010,100,61.34,22.91,41.0,11.41
134,Barrow,0,AR,1578375011,74,-38.31,-60.23,54.63,8.12
135,Nizhniy Odes,99,RU,1578375012,93,63.64,54.86,7.14,6.82
136,Castelo do Piaui,98,BR,1578375013,97,-5.32,-41.55,70.56,1.43
137,Mayumba,99,GA,1578375014,79,-3.44,10.65,80.62,10.89
138,Pemba,75,MZ,1578374846,88,-12.97,40.52,80.6,6.93
139,Playas,21,EC,1578375016,82,-2.64,-80.39,74.21,8.03
140,Warri,92,NG,1578375018,78,5.52,5.75,73.06,1.66
141,Nouadhibou,88,MR,1578375019,76,20.93,-17.03,57.2,21.92
142,Jacareacanga,95,BR,1578375020,89,-6.22,-57.76,73.76,3.69
143,Malibu,5,MX,1578375021,88,16.77,-93.16,62.6,3.36
144,Viljoenskroon,96,ZA,1578375022,69,-27.21,26.95,70.18,4.21
145,Eltham,63,GB,1578375023,87,51.45,0.05,46.0,6.93
146,Bowen,40,AU,1578375024,62,-20.01,148.25,86.0,14.99
147,Saint-Philippe,90,CA,1578375026,92,45.36,-73.48,28.0,10.29
148,Storforshei,75,NO,1578375027,100,66.4,14.52,36.0,2.24
149,Guerrero Negro,0,MX,1578375028,42,27.97,-114.04,60.26,2.84
150,Albany,75,US,1578374984,69,42.65,-73.75,36.0,19.46
151,Mar del Plata,85,AR,1578374744,45,-46.43,-67.52,66.72,18.03
152,Coos Bay,90,US,1578375033,100,43.37,-124.22,52.0,9.17
153,Nikolskoye,90,RU,1578375034,96,59.7,30.79,34.0,8.95
154,Bambous Virieux,40,MU,1578374789,83,-20.34,57.76,84.2,3.36
155,Ketchikan,40,US,1578375037,100,55.34,-131.65,32.0,9.17
156,Narsaq,8,GL,1578375039,34,60.91,-46.05,1.4,9.17
157,Khatanga,96,RU,1578374811,92,71.98,102.47,4.84,10.83
158,Cidreira,59,BR,1578375041,85,-30.17,-50.22,74.26,11.14
159,Soc Trang,40,VN,1578375042,62,9.6,105.98,89.6,11.41
160,Huangchuan,31,CN,1578375043,44,24.57,102.46,63.0,13.42
161,Fortuna,90,US,1578375044,100,40.6,-124.16,44.01,8.05
162,Camacupa,100,AO,1578375046,92,-12.02,17.48,65.07,2.86
163,Kiryas Joel,1,US,1578375047,68,41.34,-74.17,42.01,10.29
164,Chuy,21,UY,1578374868,86,-33.69,-53.46,64.74,5.75
165,Inta,99,RU,1578375049,92,66.04,60.13,7.75,20.89
166,Kortkeros,90,RU,1578375050,92,61.81,51.56,8.6,6.71
167,Aykhal,90,RU,1578375051,92,65.95,111.51,12.2,4.47
168,Ahuimanu,75,US,1578375053,73,21.44,-157.84,77.0,11.41
169,Ypsonas,90,CY,1578375055,87,34.69,32.96,60.8,19.46
170,Waiouru,79,NZ,1578375056,52,-39.48,175.67,56.52,5.84
171,College,20,US,1578375057,65,64.86,-147.8,-22.0,1.88
172,Aripuana,67,BR,1578375058,98,-9.17,-60.63,71.87,2.28
173,Santona,97,ES,1578375060,93,43.44,-3.46,45.0,2.24
174,Devils Lake,20,US,1578375062,78,48.11,-98.87,21.2,12.75
175,Nacogdoches,1,US,1578374934,62,31.6,-94.66,57.0,5.82
176,Sobolevo,93,RU,1578375064,97,54.43,31.9,26.19,6.11
177,Kavieng,91,PG,1578375065,68,-2.57,150.8,85.73,6.76
178,Tazmalt,0,DZ,1578375066,87,36.39,4.4,42.8,18.34
179,Hattiesburg,1,US,1578374804,82,31.33,-89.29,55.4,5.82
180,Bolu,100,TR,1578375068,99,40.73,31.61,32.32,2.93
181,Zhangjiakou,100,CN,1578375071,51,40.77,114.88,17.89,9.62
182,Tshikapa,91,CD,1578375072,90,-6.42,20.79,73.53,2.39
183,Longyearbyen,78,NO,1578375073,61,78.22,15.63,12.2,31.09
184,Lorengau,50,PG,1578375074,73,-2.02,147.27,84.87,8.63
185,Aktau,33,KZ,1578375075,92,43.65,51.16,24.8,17.9
186,Ciudad Bolivar,1,VE,1578375076,81,8.12,-63.55,75.15,9.98
187,Oktyabrskiy,75,RU,1578375077,74,55.61,37.97,28.4,6.71
188,Pottstown,1,US,1578375078,44,40.25,-75.65,39.2,4.7
189,Rosetown,0,CA,1578375080,75,51.55,-107.99,-0.99,1.99
190,Guarapari,100,BR,1578374823,88,-20.67,-40.5,78.8,14.99
191,Tacarigua,20,TT,1578375082,88,10.64,-61.36,75.0,11.05
192,Adrar,6,DZ,1578375083,55,27.87,-0.29,39.2,11.41
193,Puerto Ayora,25,EC,1578375084,82,-0.74,-90.35,75.99,1.99
194,Maumere,54,ID,1578375085,75,-8.63,122.22,82.89,13.82
195,Saint George,40,GR,1578375017,59,39.45,22.34,33.8,8.05
196,Rovnoye,100,RU,1578375087,94,50.78,46.06,29.01,5.82
197,Sergeyevka,100,KZ,1578375089,94,53.88,67.42,11.32,2.08
198,Half Moon Bay,1,US,1578374870,70,37.46,-122.43,51.8,6.02
199,Tazovskiy,48,RU,1578375091,92,67.47,78.7,1.08,14.09
200,Nanortalik,61,GL,1578375092,71,60.14,-45.24,16.77,42.12
201,Arraial do Cabo,31,BR,1578375093,90,-22.97,-42.02,77.88,5.79
202,Georgetown,63,GY,1578375094,88,6.8,-58.16,73.4,4.7
203,Kununurra,40,AU,1578375095,62,-15.77,128.74,89.6,8.05
204,Derzhavinsk,10,KZ,1578375096,91,51.1,66.31,10.08,3.11
205,Sola,65,TZ,1578375098,75,-3.17,33.8,71.47,8.34
206,Mazatlan,40,MX,1578374817,100,23.22,-106.42,70.0,12.35
207,Lewisporte,75,CA,1578375100,78,49.25,-55.06,17.6,5.82
208,Ouesso,0,CG,1578375101,44,1.61,16.05,71.98,2.73
209,Vila,47,IT,1578375103,100,45.18,8.4,35.01,1.12
210,Pisco,64,PE,1578375104,88,-13.71,-76.2,69.8,6.93
211,Praia da Vitoria,40,PT,1578375105,88,38.73,-27.07,64.4,21.05
212,Broome,23,GB,1578375107,93,52.47,1.45,42.01,9.17
213,Leningradskiy,0,RU,1578375108,79,69.38,178.42,-9.42,13.69
214,Tiksi,100,RU,1578375109,86,71.64,128.87,-3.32,11.88
215,Hita,75,JP,1578375110,63,33.31,130.95,64.4,3.36
216,Port Lincoln,0,AU,1578374870,49,-34.72,135.86,74.01,10.69
217,Kathu,100,ZA,1578375112,69,-27.7,23.05,70.0,1.99
218,Marsaxlokk,20,MT,1578375113,54,35.84,14.54,48.0,6.93
219,San Patricio,1,PY,1578375115,95,-26.98,-56.83,68.92,4.36
220,Akureyri,88,IS,1578375116,68,65.68,-18.09,30.2,6.93
221,Rocha,17,UY,1578375117,93,-34.48,-54.34,59.0,4.14
222,Buchanan,20,LR,1578375118,94,5.88,-10.05,69.8,3.69
223,Aksu,90,KZ,1578375119,84,52.04,76.93,8.6,2.24
224,Bemidji,1,US,1578375120,79,47.48,-94.89,24.01,11.41
225,Elk City,1,US,1578375121,50,35.41,-99.4,39.2,8.05
226,Kholm-Zhirkovskiy,93,RU,1578375122,96,55.52,33.47,24.24,5.84
227,Jasper,75,US,1578374865,82,33.83,-87.28,57.99,9.55
228,Kendari,100,ID,1578375125,80,-3.99,122.52,84.47,3.83
229,Zhigansk,100,RU,1578375126,95,66.77,123.37,0.0,14.85
230,Aklavik,5,CA,1578375127,66,68.22,-135.01,-32.8,6.02
231,Talnakh,40,RU,1578375128,92,69.49,88.39,6.8,20.13
232,Ribeira Grande,100,PT,1578375129,94,38.52,-28.7,61.21,16.26
233,Jeremie,1,HT,1578375130,79,18.65,-74.12,66.4,3.47
234,Borogontsy,100,RU,1578375131,96,62.67,131.17,4.87,4.0
235,Viedma,0,AR,1578375133,46,-40.81,-62.99,56.16,7.2
236,The Valley,20,AI,1578374866,69,18.22,-63.06,77.0,4.7
237,Meulaboh,19,ID,1578375135,70,4.14,96.13,82.11,3.78
238,Krasnaya Gorka,94,RU,1578375136,91,55.19,56.67,15.51,2.33
239,Padang,85,ID,1578375137,59,-0.92,100.36,83.32,2.55
240,Barcelona,20,ES,1578374888,75,41.38,2.18,48.99,14.99
241,Faanui,85,PF,1578375139,80,-16.48,-151.75,81.23,18.05
242,Chicama,10,PE,1578375140,94,-7.84,-79.15,68.0,5.82
243,Constitucion,99,MX,1578375142,31,23.99,-104.67,52.41,4.07
244,Maragogi,18,BR,1578375513,75,-9.01,-35.22,79.57,9.75
245,Skjervoy,100,NO,1578375517,75,70.03,20.97,41.54,17.49
246,Slupsk,98,PL,1578375518,86,54.46,17.03,35.42,8.1
247,Itacare,75,BR,1578375519,94,-14.28,-39.0,78.8,1.12
248,Solwezi,100,ZM,1578375520,98,-12.18,26.4,62.29,3.62
249,Evanston,1,US,1578375237,59,42.04,-87.69,34.0,11.43
250,Kabakovo,90,RU,1578375524,100,54.54,56.15,21.2,2.24
251,Havelock,1,US,1578375525,100,34.88,-76.9,43.0,2.04
252,Yumen,17,CN,1578375526,43,40.29,97.04,27.18,12.77
253,Pattani,20,TH,1578375527,70,6.87,101.25,84.2,9.17
254,Kaitangata,0,NZ,1578375528,76,-46.28,169.85,51.82,18.12
255,Umm Kaddadah,16,SD,1578375529,22,13.6,26.69,61.92,12.86
256,Lufilufi,75,WS,1578375531,70,-13.87,-171.6,91.4,10.29
257,Lagoa,0,PT,1578375532,93,37.14,-8.45,52.0,6.93
258,Tefe,34,BR,1578375533,90,-3.35,-64.71,75.4,1.07
259,Mayo,40,CA,1578375534,66,63.59,-135.9,-31.0,2.24
260,Mulege,0,MX,1578375536,61,26.88,-111.98,59.32,3.69
261,Aksarka,38,RU,1578375260,86,66.56,67.8,4.78,12.66
262,Coquimbo,0,CL,1578375541,63,-29.95,-71.34,64.4,4.7
263,Istiaia,40,GR,1578375542,59,38.96,23.15,44.01,8.05
264,Gobabis,100,NA,1578375544,75,-22.45,18.97,69.17,7.29
265,Devarkonda,54,IN,1578375546,69,16.69,78.91,77.4,11.07
266,Quatre Cocos,40,MU,1578375548,83,-20.21,57.76,84.2,3.36
267,Bilibino,0,RU,1578375549,91,68.06,166.44,-20.85,2.71
268,Nome,75,US,1578375550,88,30.04,-94.42,64.4,5.82
269,Great Yarmouth,23,GB,1578375551,86,52.61,1.73,41.0,10.29
